time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2021-11-10 11:7:41.6780,0.079,-0.371,-0.974,-0.1,0.11,0.04,0.32,-0.09,-0.4
2021-11-10 11:7:41.6880,0.086,-0.361,-0.983,0.0,0.38,0.23,0.22,-0.07,-0.34
2021-11-10 11:7:41.6990,0.089,-0.371,-0.966,-0.02,0.27,0.43,0.06,0.04,-0.11
2021-11-10 11:7:41.7090,0.103,-0.366,-0.963,-0.05,0.32,0.33,0.06,0.04,-0.11
2021-11-10 11:7:41.7190,0.113,-0.364,-0.977,-0.15,0.34,0.21,-0.01,0.11,0.0
2021-11-10 11:7:41.7290,0.127,-0.368,-0.987,-0.26,0.28,0.32,-0.06,0.14,0.08
2021-11-10 11:7:41.7390,0.138,-0.364,-0.982,-0.36,0.33,0.44,-0.08,0.17,0.11
2021-11-10 11:7:41.7490,0.139,-0.365,-0.967,-0.49,0.31,0.45,0.02,0.25,0.1
2021-11-10 11:7:41.7590,0.138,-0.367,-0.955,-0.5,0.3,0.33,0.02,0.25,0.1
2021-11-10 11:7:41.7690,0.136,-0.364,-0.954,-0.49,0.32,0.19,0.11,0.27,0.09
2021-11-10 11:7:41.7780,0.139,-0.364,-0.946,-0.44,0.28,0.15,0.22,0.26,0.1
2021-11-10 11:7:41.7880,0.148,-0.365,-0.931,-0.42,0.25,0.14,0.33,0.21,0.1
2021-11-10 11:7:41.7980,0.154,-0.371,-0.927,-0.49,0.21,0.01,0.41,0.13,0.1
2021-11-10 11:7:41.8080,0.155,-0.378,-0.918,-0.57,0.21,-0.07,0.45,0.04,0.09
2021-11-10 11:7:41.8180,0.151,-0.385,-0.9,-0.59,0.23,-0.08,0.47,0.03,0.03
2021-11-10 11:7:41.8290,0.14,-0.385,-0.905,-0.57,0.27,-0.25,0.47,0.03,0.03
2021-11-10 11:7:41.8380,0.131,-0.388,-0.907,-0.48,0.26,-0.27,0.36,0.1,-0.01
2021-11-10 11:7:41.8490,0.122,-0.394,-0.901,-0.38,0.23,-0.19,0.36,0.1,-0.01
2021-11-10 11:7:41.8580,0.116,-0.405,-0.888,-0.27,0.25,-0.23,0.3,0.14,-0.01
2021-11-10 11:7:41.8690,0.116,-0.412,-0.865,-0.19,0.31,-0.29,0.29,0.19,-0.0
2021-11-10 11:7:41.8780,0.114,-0.404,-0.86,-0.15,0.39,-0.49,0.33,0.19,0.01
2021-11-10 11:7:41.8890,0.101,-0.392,-0.871,-0.13,0.33,-0.63,0.4,0.08,0.04
2021-11-10 11:7:41.8980,0.019,-0.392,-0.833,-0.12,0.16,-0.5,0.59,-0.24,0.25
2021-11-10 11:7:41.9080,0.12,-0.371,-0.822,0.52,0.03,-0.63,0.98,-0.46,0.39
2021-11-10 11:7:41.9180,0.206,-0.329,-0.857,0.25,-0.1,-0.97,0.98,-0.46,0.39
2021-11-10 11:7:41.9280,0.212,-0.353,-0.856,-1.01,-0.64,-0.63,1.07,-0.54,0.25
2021-11-10 11:7:41.9390,0.196,-0.389,-0.856,-1.34,-0.77,-0.47,1.09,-0.64,0.09
2021-11-10 11:7:41.9480,0.162,-0.415,-0.834,-1.3,-0.45,-0.48,1.07,-0.75,-0.06
2021-11-10 11:7:41.9580,0.131,-0.441,-0.774,-1.1,-0.31,-0.48,1.05,-0.69,-0.16
2021-11-10 11:7:41.9680,0.107,-0.426,-0.775,-0.78,-0.08,-0.99,0.99,-0.58,-0.18
2021-11-10 11:7:41.9790,0.083,-0.417,-0.803,-0.59,-0.18,-1.22,0.73,-0.52,0.02
2021-11-10 11:7:41.9890,0.067,-0.425,-0.786,-0.38,-0.4,-0.9,0.6,-0.38,0.16
2021-11-10 11:7:41.9980,0.049,-0.43,-0.756,-0.25,-0.41,-0.86,0.6,-0.38,0.16
2021-11-10 11:7:42.0070,0.03,-0.439,-0.743,-0.12,-0.4,-1.15,0.5,-0.1,0.26
