time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2021-11-10 11:9:27.7720,0.291,0.963,-0.082,-0.28,-0.02,-1.82,0.01,-0.08,0.0
2021-11-10 11:9:27.7810,0.301,0.964,-0.041,-0.1,-0.07,-0.02,0.01,-0.08,0.0
2021-11-10 11:9:27.7910,0.299,0.955,-0.043,-0.08,-0.09,0.22,0.01,-0.05,-0.01
2021-11-10 11:9:27.8020,0.288,0.953,-0.052,-0.13,-0.03,-0.05,0.01,-0.05,-0.01
2021-11-10 11:9:27.8120,0.286,0.953,-0.05,-0.03,0.03,0.11,0.01,-0.03,-0.0
2021-11-10 11:9:27.8220,0.288,0.953,-0.053,0.03,0.03,0.1,0.01,-0.03,-0.0
2021-11-10 11:9:27.8310,0.292,0.953,-0.058,0.01,0.03,0.1,0.0,-0.03,-0.0
2021-11-10 11:9:27.8420,0.294,0.953,-0.058,-0.02,0.03,0.16,-0.01,-0.05,-0.0
2021-11-10 11:9:27.8510,0.298,0.955,-0.053,-0.04,0.03,0.18,-0.01,-0.05,-0.0
2021-11-10 11:9:27.8610,0.295,0.958,-0.045,-0.08,0.02,0.14,-0.01,-0.05,-0.01
2021-11-10 11:9:27.8700,0.293,0.959,-0.043,-0.08,-0.01,0.07,-0.01,-0.05,-0.01
2021-11-10 11:9:27.8800,0.292,0.958,-0.042,-0.05,-0.03,0.02,-0.01,-0.04,-0.01
2021-11-10 11:9:27.8910,0.29,0.958,-0.041,-0.04,-0.03,0.01,-0.0,-0.04,-0.01
2021-11-10 11:9:27.9000,0.291,0.958,-0.048,-0.02,-0.01,-0.01,0.0,-0.03,-0.01
2021-11-10 11:9:27.9110,0.292,0.955,-0.052,-0.02,-0.03,0.03,0.0,-0.03,-0.01
2021-11-10 11:9:27.9220,0.293,0.954,-0.054,-0.03,0.0,0.1,0.0,-0.04,-0.0
2021-11-10 11:9:27.9310,0.295,0.954,-0.056,-0.04,0.02,0.12,-0.0,-0.06,-0.0
2021-11-10 11:9:27.9410,0.296,0.957,-0.058,-0.06,0.02,0.13,-0.0,-0.06,-0.0
2021-11-10 11:9:27.9500,0.298,0.961,-0.056,-0.07,0.0,0.15,-0.0,-0.06,-0.0
2021-11-10 11:9:27.9600,0.299,0.962,-0.055,-0.08,-0.04,0.15,-0.0,-0.07,-0.0
2021-11-10 11:9:27.9700,0.299,0.96,-0.056,-0.1,-0.06,0.13,-0.0,-0.07,-0.01
2021-11-10 11:9:27.9800,0.296,0.958,-0.056,-0.1,-0.05,0.14,-0.0,-0.07,-0.01
2021-11-10 11:9:27.9900,0.294,0.956,-0.06,-0.08,-0.02,0.13,-0.01,-0.07,-0.01
2021-11-10 11:9:28.0010,0.294,0.954,-0.058,-0.06,-0.01,0.16,-0.01,-0.07,-0.01
2021-11-10 11:9:28.0110,0.292,0.954,-0.054,-0.05,0.01,0.16,-0.01,-0.07,-0.02
2021-11-10 11:9:28.0210,0.29,0.958,-0.055,-0.04,0.02,0.13,-0.01,-0.06,-0.02
2021-11-10 11:9:28.0300,0.29,0.961,-0.052,-0.02,0.0,0.11,-0.01,-0.06,-0.02
2021-11-10 11:9:28.0410,0.29,0.965,-0.05,-0.02,-0.04,0.11,-0.01,-0.04,-0.02
2021-11-10 11:9:28.0500,0.288,0.965,-0.052,-0.02,-0.07,0.07,-0.0,-0.04,-0.02
2021-11-10 11:9:28.0610,0.289,0.963,-0.052,-0.01,-0.09,0.08,0.0,-0.03,-0.01
2021-11-10 11:9:28.0700,0.29,0.959,-0.053,0.0,-0.08,0.09,0.01,-0.02,-0.01
2021-11-10 11:9:28.0800,0.291,0.955,-0.057,-0.01,-0.04,0.1,0.01,-0.02,-0.01
2021-11-10 11:9:28.0910,0.292,0.953,-0.058,-0.03,0.0,0.12,0.01,-0.02,-0.01
2021-11-10 11:9:28.1000,0.295,0.955,-0.055,-0.03,0.03,0.15,0.01,-0.03,-0.01
2021-11-10 11:9:28.1110,0.296,0.959,-0.051,-0.06,0.02,0.13,0.01,-0.04,-0.01
2021-11-10 11:9:28.1200,0.294,0.963,-0.05,-0.07,-0.02,0.08,0.0,-0.04,-0.01
