time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2021-11-10 11:5:04.1690,-0.062,-0.461,-0.905,0.14,0.29,0.0,-0.0,0.12,-0.19
2021-11-10 11:6:08.7770,-0.051,-0.454,-0.904,0.14,0.29,0.0,-0.0,0.12,-0.19
2021-11-10 11:6:08.7870,-0.049,-0.456,-0.893,0.04,0.15,0.1,0.1,-0.06,-0.2
2021-11-10 11:6:08.7970,-0.051,-0.453,-0.891,-0.01,0.16,-0.03,0.1,-0.06,-0.2
2021-11-10 11:6:08.8080,-0.063,-0.45,-0.875,-0.01,0.13,-0.04,0.12,-0.07,-0.19
2021-11-10 11:6:08.8170,-0.062,-0.445,-0.87,0.08,0.09,-0.15,0.13,-0.06,-0.18
2021-11-10 11:6:08.8270,-0.053,-0.447,-0.876,0.15,0.03,-0.26,0.14,-0.13,-0.13
2021-11-10 11:6:08.8370,-0.053,-0.45,-0.873,0.05,0.01,-0.2,0.14,-0.13,-0.13
2021-11-10 11:6:08.8480,-0.056,-0.45,-0.861,0.01,0.04,-0.18,0.16,-0.16,-0.11
2021-11-10 11:6:08.8570,-0.056,-0.451,-0.86,0.03,0.02,-0.27,0.21,-0.18,-0.12
2021-11-10 11:6:08.8670,-0.047,-0.454,-0.865,0.03,0.01,-0.33,0.27,-0.27,-0.15
2021-11-10 11:6:08.8780,-0.044,-0.461,-0.874,-0.06,0.0,-0.27,0.32,-0.42,-0.18
2021-11-10 11:6:08.8870,-0.058,-0.471,-0.879,-0.16,0.02,-0.19,0.34,-0.56,-0.19
2021-11-10 11:6:08.8970,-0.103,-0.482,-0.873,-0.15,0.08,-0.09,0.31,-0.58,-0.12
2021-11-10 11:6:08.9070,-0.073,-0.47,-0.843,0.24,0.18,-0.06,0.31,-0.37,-0.1
2021-11-10 11:6:08.9170,-0.096,-0.467,-0.91,0.12,0.12,-0.36,0.29,-0.21,-0.12
2021-11-10 11:6:08.9270,-0.103,-0.477,-0.935,0.14,-0.01,-0.04,0.22,-0.08,-0.14
2021-11-10 11:6:08.9380,-0.095,-0.473,-0.916,0.34,0.06,0.55,0.16,0.11,-0.17
2021-11-10 11:6:08.9470,-0.086,-0.484,-0.937,0.31,0.05,0.37,0.09,0.27,-0.2
2021-11-10 11:6:08.9560,-0.08,-0.498,-0.943,0.25,0.08,0.45,0.0,0.35,-0.21
2021-11-10 11:6:08.9670,-0.071,-0.503,-0.927,0.23,0.24,0.61,-0.06,0.37,-0.21
2021-11-10 11:6:08.9760,-0.072,-0.512,-0.906,0.18,0.33,0.51,-0.09,0.31,-0.21
2021-11-10 11:6:08.9870,-0.081,-0.516,-0.894,0.17,0.39,0.31,0.13,0.03,-0.25
2021-11-10 11:6:08.9960,-0.087,-0.525,-0.933,0.28,0.47,0.12,0.13,0.03,-0.25
2021-11-10 11:6:09.0070,-0.106,-0.576,-1.005,0.33,0.46,0.3,0.3,-0.23,-0.25
2021-11-10 11:6:09.0160,-0.128,-0.615,-1.058,0.45,0.76,0.97,0.5,-0.47,-0.3
2021-11-10 11:6:09.0260,-0.149,-0.583,-1.102,0.63,1.26,1.61,0.63,-0.65,-0.45
2021-11-10 11:6:09.0360,-0.201,-0.508,-1.167,0.8,1.12,2.08,0.65,-0.88,-0.66
2021-11-10 11:6:09.0460,-0.219,-0.528,-1.081,1.1,0.44,2.72,0.76,-1.13,-0.87
2021-11-10 11:6:09.0570,-0.177,-0.59,-0.969,1.51,0.01,2.63,0.95,-1.17,-1.02
2021-11-10 11:6:09.0670,-0.213,-0.639,-0.934,1.12,0.62,1.41,1.13,-1.05,-1.06
